ensembl_gene_id,logFC,logCPM,F,PValue,FDR,gene_symbol,cellranger_version,pseudobulk,gene,gene2,gene3
ENSG00000128422,1.734310494,10.25065549,3250.478964,0,0,KRT17,v3,FALSE,Krt17,Krt17,KRT17
ENSG00000143878,1.717615615,8.786706312,5105.775138,0,0,RHOB,v3,FALSE,Rhob,Rhob,RHOB
ENSG00000130522,1.710341345,8.836101455,4882.790968,0,0,JUND,v3,FALSE,Jund,Jund,JUND
ENSG00000141682,1.689312783,8.778681977,4295.888809,0,0,PMAIP1,v3,FALSE,Pmaip1,Pmaip1,PMAIP1
ENSG00000144802,1.671980488,8.682786279,5354.70454,0,0,NFKBIZ,v3,FALSE,Nfkbiz,Nfkbiz,NFKBIZ
ENSG00000163874,1.627858383,8.63963174,6344.60063,0,0,ZC3H12A,v3,FALSE,Zc3h12a,Zc3h12a,ZC3H12A
ENSG00000078401,1.627729471,8.620003651,6517.916717,0,0,EDN1,v3,FALSE,Edn1,Edn1,EDN1
ENSG00000197019,1.627615592,8.826527059,4476.155304,0,0,SERTAD1,v3,FALSE,Sertad1,Sertad1,SERTAD1
ENSG00000127528,1.592429288,8.686032059,5158.852274,0,0,KLF2,v3,FALSE,Klf2,Klf2,KLF2
ENSG00000173334,1.577906894,8.668265292,5317.097952,0,0,TRIB1,v3,FALSE,Trib1,Trib1,TRIB1
ENSG00000023445,1.5585775,8.639153119,6371.118463,0,0,BIRC3,v3,FALSE,Birc3,Birc3,BIRC3
ENSG00000176907,1.522784998,8.731648705,4102.731457,0,0,TCIM,v3,FALSE,Tcim,Tcim,TCIM
ENSG00000125398,1.521839266,9.081045983,3844.847939,0,0,SOX9,v3,FALSE,Sox9,Sox9,SOX9
ENSG00000256045,1.512163133,9.058297469,3598.662999,0,0,MTRNR2L10,v3,FALSE,Mtrnr2l10,Mtrnr2l10,MTRNR2L10
ENSG00000090339,1.511511964,8.635994529,5783.961206,0,0,ICAM1,v3,FALSE,Icam1,Icam1,ICAM1
ENSG00000099860,1.492381656,8.82109581,3174.22068,0,0,GADD45B,v3,FALSE,Gadd45b,Gadd45b,GADD45B
ENSG00000244734,-1.470873396,8.603749538,5399.569729,0,0,HBB,v3,FALSE,Cdkn1a,Hbb,CDKN1A
ENSG00000124762,1.469821246,8.706811754,4011.42146,0,0,CDKN1A,v3,FALSE,Hsph1,Cdkn1a,HSPH1
ENSG00000120694,1.431460426,8.99114133,2968.936865,0,0,HSPH1,v3,FALSE,Hspb1,Hsph1,HSPB1
ENSG00000106211,1.421975519,10.72651929,4562.336142,0,0,HSPB1,v3,FALSE,Emp1,Hspb1,EMP1
ENSG00000134531,1.4175583,8.901641273,2984.142873,0,0,EMP1,v3,FALSE,Rasd1,Emp1,RASD1
ENSG00000108551,1.394254771,8.658852828,4295.789629,0,0,RASD1,v3,FALSE,Dnaja1,Rasd1,DNAJA1
ENSG00000086061,1.38959955,9.336533012,3492.644387,0,0,DNAJA1,v3,FALSE,Sat1,Dnaja1,SAT1
ENSG00000130066,1.359634465,10.8023749,4083.424428,0,0,SAT1,v3,FALSE,Csrnp1,Sat1,CSRNP1
ENSG00000144655,1.327132615,8.599563182,5822.174078,0,0,CSRNP1,v3,FALSE,Rhov,Csrnp1,RHOV
ENSG00000104140,1.325114865,8.824407269,3238.600943,0,0,RHOV,v3,FALSE,Pnrc1,Rhov,PNRC1
ENSG00000146278,1.295147221,9.21888777,3313.588843,0,0,PNRC1,v3,FALSE,Pim1,Pnrc1,PIM1
ENSG00000137193,1.292661156,8.695870603,3098.237464,0,0,PIM1,v3,FALSE,Anxa1,Pim1,ANXA1
ENSG00000223609,-1.291253675,8.572422167,7691.207064,0,0,HBD,v3,FALSE,Tm4sf1,Hbd,TM4SF1
ENSG00000135046,1.290391309,10.01673998,3005.132724,0,0,ANXA1,v3,FALSE,Ctgf,Anxa1,CTGF
ENSG00000169908,1.285312908,10.28267166,3941.752415,0,0,TM4SF1,v3,FALSE,Ube2s,Tm4sf1,UBE2S
ENSG00000118523,1.278363753,9.169925952,1601.671552,0,0,CTGF,v3,FALSE,Dnaja4,Ctgf,DNAJA4
ENSG00000108106,1.272217245,9.027404199,2398.645795,0,0,UBE2S,v3,FALSE,Cldn3,Ube2s,CLDN3
ENSG00000140403,1.268083663,8.68306365,3118.043081,0,0,DNAJA4,v3,FALSE,Gprc5a,Dnaja4,GPRC5A
ENSG00000165215,1.261535124,9.234720969,7314.103431,0,0,CLDN3,v3,FALSE,Hsp90aa1,Cldn3,HSP90AA1
ENSG00000013588,1.253347056,8.659246902,3275.329645,0,0,GPRC5A,v3,FALSE,Cd55,Gprc5a,CD55
ENSG00000080824,1.24422592,11.71025434,7046.76309,0,0,HSP90AA1,v3,FALSE,Areg,Hsp90aa1,AREG
ENSG00000196352,1.236601222,8.757525945,2465.725551,0,0,CD55,v3,FALSE,Ubc,Cd55,UBC
ENSG00000109321,1.229288288,8.600481595,4932.843674,0,0,AREG,v3,FALSE,Id2,Areg,ID2
ENSG00000150991,1.225412245,10.36592492,4984.702613,0,0,UBC,v3,FALSE,S100a9,Ubc,S100A9
ENSG00000115738,1.211792585,9.204557866,2324.669412,0,0,ID2,v3,FALSE,S100p,Id2,S100P
ENSG00000163220,1.19672727,8.951880004,2048.968605,0,0,S100A9,v3,FALSE,Efna1,S100a9,EFNA1
ENSG00000163993,1.176744199,8.725639348,2193.474108,0,0,S100P,v3,FALSE,Pde4b,S100p,PDE4B
ENSG00000169242,1.157426914,9.228933085,2691.037907,0,0,EFNA1,v3,FALSE,Ints6,Efna1,INTS6
ENSG00000184588,1.155542595,8.650541686,2611.482907,0,0,PDE4B,v3,FALSE,Tob1,Pde4b,TOB1
ENSG00000102786,1.153135782,8.794363176,2232.327368,0,0,INTS6,v3,FALSE,Krt18,Ints6,KRT18
ENSG00000141232,1.149143918,8.722202274,2348.785414,0,0,TOB1,v3,FALSE,Lmna,Tob1,LMNA
ENSG00000111057,1.146336577,9.465461147,3319.556925,0,0,KRT18,v3,FALSE,Il32,Krt18,IL32
ENSG00000160789,1.145757959,10.31120621,4505.463857,0,0,LMNA,v3,FALSE,Map3k8,Lmna,MAP3K8
ENSG00000008517,1.140044781,9.137447992,3943.799962,0,0,IL32,v3,FALSE,Neat1,Il32,NEAT1
ENSG00000107968,1.138741826,8.630015683,3431.142125,0,0,MAP3K8,v3,FALSE,Krt19,Map3k8,KRT19
ENSG00000245532,1.135021773,10.84263324,3635.524082,0,0,NEAT1,v3,FALSE,Clk1,Neat1,CLK1
ENSG00000171345,1.134257961,10.20713484,4522.610334,0,0,KRT19,v3,FALSE,Ccl20,Krt19,CCL20
ENSG00000013441,1.127865917,8.733043332,2297.736556,0,0,CLK1,v3,FALSE,Herpud1,Clk1,HERPUD1
ENSG00000115009,1.12283908,8.589454922,3592.902392,0,0,CCL20,v3,FALSE,Irf2bp2,Ccl20,IRF2BP2
ENSG00000051108,1.112770138,9.193280703,1974.556156,0,0,HERPUD1,v3,FALSE,Itpkc,Herpud1,ITPKC
ENSG00000168264,1.106090991,9.027532043,2312.48541,0,0,IRF2BP2,v3,FALSE,Gadd45a,Irf2bp2,GADD45A
ENSG00000086544,1.104052252,8.640066823,2690.502083,0,0,ITPKC,v3,FALSE,Dnajb4,Itpkc,DNAJB4
ENSG00000116717,1.098574043,9.024391568,1805.565612,0,0,GADD45A,v3,FALSE,Fgfbp2,Gadd45a,FGFBP2
ENSG00000162616,1.094985537,8.813142901,1859.135181,0,0,DNAJB4,v3,FALSE,Tnfaip2,Dnajb4,TNFAIP2
ENSG00000137441,1.093887065,8.795943746,1623.009152,0,0,FGFBP2,v3,FALSE,Rel,Fgfbp2,REL
ENSG00000185215,1.080488702,8.792934743,1989.923908,0,0,TNFAIP2,v3,FALSE,Krt5,Tnfaip2,KRT5
ENSG00000162924,1.07536268,8.867839282,1969.053967,0,0,REL,v3,FALSE,Nupr2,Rel,NUPR2
ENSG00000186081,1.073917481,9.749024681,2274.768686,0,0,KRT5,v3,FALSE,Stat3,Krt5,STAT3
ENSG00000185290,1.070955952,9.218628461,5215.028424,0,0,NUPR2,v3,FALSE,Nampt,Nupr2,NAMPT
ENSG00000168610,1.066867761,8.877793536,1925.157986,0,0,STAT3,v3,FALSE,Cebpb,Stat3,CEBPB
ENSG00000105835,1.060444268,8.806376015,2024.062038,0,0,NAMPT,v3,FALSE,Zfp36l1,Nampt,ZFP36L1
ENSG00000172216,1.058288311,9.801456533,3004.15424,0,0,CEBPB,v3,FALSE,Hes4,Cebpb,HES4
ENSG00000185650,1.051870263,9.510884753,2496.595496,0,0,ZFP36L1,v3,FALSE,Tra2b,Zfp36l1,TRA2B
ENSG00000188290,1.051550762,9.209803207,2552.95522,0,0,HES4,v3,FALSE,Nfatc1,Hes4,NFATC1
ENSG00000136527,1.046397233,9.226233397,2209.044872,0,0,TRA2B,v3,FALSE,Pim3,Tra2b,PIM3
ENSG00000131196,1.041015197,8.729602419,2062.827734,0,0,NFATC1,v3,FALSE,Tra2a,Nfatc1,TRA2A
ENSG00000198355,1.029414854,8.823672734,1804.559835,0,0,PIM3,v3,FALSE,Plat,Pim3,PLAT
ENSG00000164548,1.026543121,8.861031625,1700.889568,0,0,TRA2A,v3,FALSE,Bag3,Tra2a,BAG3
ENSG00000104368,1.023860686,8.608368712,3151.720688,0,0,PLAT,v3,FALSE,Msln,Plat,MSLN
ENSG00000151929,1.02153978,8.680621941,1915.470476,0,0,BAG3,v3,FALSE,Hist1h2bg,Bag3,HIST1H2BG
ENSG00000102854,1.016523764,8.706101699,3667.002731,0,0,MSLN,v3,FALSE,Bhlhe40,Msln,BHLHE40
ENSG00000273802,1.01515925,8.692752124,1848.705716,0,0,HIST1H2BG,v3,FALSE,Ppp1r14b,Hist1h2bg,PPP1R14B
ENSG00000134107,1.012451539,8.776862486,1618.256237,0,0,BHLHE40,v3,FALSE,Vmp1,Bhlhe40,VMP1
ENSG00000173457,1.010406132,9.150870441,2403.353486,0,0,PPP1R14B,v3,FALSE,Acbd3,Ppp1r14b,ACBD3
ENSG00000062716,1.007463728,8.825502606,1757.803249,0,0,VMP1,v3,FALSE,Zfand5,Vmp1,ZFAND5
ENSG00000182827,1.003344571,8.888741324,1964.96698,0,0,ACBD3,v3,FALSE,Serpinb5,Acbd3,SERPINB5
ENSG00000107372,0.997130804,9.022898424,1888.588188,0,0,ZFAND5,v3,FALSE,Azgp1,Zfand5,AZGP1
ENSG00000206075,0.991492399,8.96265882,1775.705976,0,0,SERPINB5,v3,FALSE,Hspa8,Serpinb5,HSPA8
ENSG00000160862,0.984969135,10.07380864,2853.661503,0,0,AZGP1,v3,FALSE,Brd2,Azgp1,BRD2
ENSG00000109971,0.979804046,9.514424176,2410.08474,0,0,HSPA8,v3,FALSE,Lcn2,Hspa8,LCN2
ENSG00000204256,0.974326431,8.843432791,1683.308537,0,0,BRD2,v3,FALSE,Tacstd2,Brd2,TACSTD2
ENSG00000148346,0.961427447,8.789375657,2775.609811,0,0,LCN2,v3,FALSE,Sqstm1,Lcn2,SQSTM1
ENSG00000184292,0.931357718,9.903358047,1697.421218,0,0,TACSTD2,v3,FALSE,Krt8,Tacstd2,KRT8
ENSG00000161011,0.921840501,9.109415224,1597.550809,0,0,SQSTM1,v3,FALSE,Tnfrsf12a,Sqstm1,TNFRSF12A
ENSG00000170421,0.912636478,9.640182562,2131.91901,0,0,KRT8,v3,FALSE,Rab11fip1,Krt8,RAB11FIP1
ENSG00000006327,0.91016946,9.427105048,1706.442893,0,0,TNFRSF12A,v3,FALSE,Tmem54,Tnfrsf12a,TMEM54
ENSG00000156675,0.903418301,8.985105649,2487.20538,0,0,RAB11FIP1,v3,FALSE,Rarres1,Rab11fip1,RARRES1
ENSG00000121900,0.870225208,8.96303696,1634.819643,0,0,TMEM54,v3,FALSE,Hebp2,Tmem54,HEBP2
ENSG00000118849,0.851162293,10.88122789,3125.782442,0,0,RARRES1,v3,FALSE,Rab25,Rarres1,RAB25
ENSG00000051620,0.842026176,10.27860957,2592.244989,0,0,HEBP2,v3,FALSE,Selenom,Hebp2,SELENOM
ENSG00000132698,0.817905166,8.807482511,1600.373716,0,0,RAB25,v3,FALSE,Creg1,Rab25,CREG1
ENSG00000198832,0.800484377,8.819766754,1957.970894,0,0,SELENOM,v3,FALSE,Bri3,Selenom,BRI3
ENSG00000143162,0.800348141,8.844081683,1738.769762,0,0,CREG1,v3,FALSE,Rps21,Creg1,RPS21
ENSG00000164713,0.799707423,9.175153785,1555.690381,0,0,BRI3,v3,FALSE,Nd2,Bri3,ND2
ENSG00000171858,0.794164982,11.16817121,3219.851699,0,0,RPS21,v3,FALSE,Ppia,Rps21,PPIA
ENSG00000198763,0.785833426,11.57657324,1819.690583,0,0,ND2,v3,FALSE,Rplp2,Nd2,RPLP2
ENSG00000196262,0.784975955,10.51369982,4237.188299,0,0,PPIA,v3,FALSE,Fus,Ppia,FUS
ENSG00000177600,0.768137877,11.69486324,5268.019169,0,0,RPLP2,v3,FALSE,Perp,Rplp2,PERP
ENSG00000089280,0.768047348,9.659538001,1542.557276,0,0,FUS,v3,FALSE,S100a10,Fus,S100A10
ENSG00000112378,0.726632101,9.860701389,1602.827979,0,0,PERP,v3,FALSE,Rpl37,Perp,RPL37
ENSG00000197747,0.725154309,11.58808217,2841.547558,0,0,S100A10,v3,FALSE,Rpl37a,S100a10,RPL37A
ENSG00000145592,0.711616911,11.33540086,2342.692355,0,0,RPL37,v3,FALSE,Tagln2,Rpl37,TAGLN2
ENSG00000197756,0.710896727,11.89221441,3092.090737,0,0,RPL37A,v3,FALSE,Arf1,Rpl37a,ARF1
ENSG00000158710,0.710083634,9.791242898,1921.271816,0,0,TAGLN2,v3,FALSE,Cd24,Tagln2,CD24
ENSG00000143761,0.699170055,9.565916891,1645.202816,0,0,ARF1,v3,FALSE,Malat1,Arf1,MALAT1
ENSG00000272398,0.69204465,10.70316315,1580.690983,0,0,CD24,v3,FALSE,Fau,Cd24,FAU
ENSG00000251562,0.671961495,15.21152914,2123.555322,0,0,MALAT1,v3,FALSE,Nd1,Malat1,ND1
ENSG00000149806,0.667875996,10.61106142,3377.65148,0,0,FAU,v3,FALSE,Rps29,Fau,RPS29
ENSG00000198888,0.66730468,11.75602743,1604.28153,0,0,ND1,v3,FALSE,Rpl38,Nd1,RPL38
ENSG00000213741,0.663236905,10.72581215,1681.374905,0,0,RPS29,v3,FALSE,Hspe1,Rps29,HSPE1
ENSG00000172809,0.661136305,11.12860031,2191.480665,0,0,RPL38,v3,FALSE,Tpt1,Rpl38,TPT1
ENSG00000115541,0.657362337,10.19230013,1590.070373,0,0,HSPE1,v3,FALSE,Sccpdh,Hspe1,SCCPDH
ENSG00000133112,0.654022208,10.8330868,2633.357217,0,0,TPT1,v3,FALSE,Rpl23,Tpt1,RPL23
ENSG00000143653,0.650316747,9.610596731,1555.526764,0,0,SCCPDH,v3,FALSE,Rps12,Sccpdh,RPS12
ENSG00000125691,0.641268885,10.28408102,2124.110656,0,0,RPL23,v3,FALSE,Hsp90ab1,Rpl23,HSP90AB1
ENSG00000112306,0.632240031,12.12814967,3262.162335,0,0,RPS12,v3,FALSE,Eef1a1,Rps12,EEF1A1
ENSG00000096384,0.609838727,10.64889238,1636.847752,0,0,HSP90AB1,v3,FALSE,Rpl22,Hsp90ab1,RPL22
ENSG00000156508,0.602409301,11.93460568,2922.730738,0,0,EEF1A1,v3,FALSE,Tnf,Eef1a1,TNF
ENSG00000116251,0.599861322,10.72033312,2446.35092,0,0,RPL22,v3,FALSE,Arhgdib,Rpl22,ARHGDIB
ENSG00000232810,0.927446961,8.556579453,5965.825745,2.5e-323,2.357e-321,TNF,v3,FALSE,Map1lc3b,Tnf,MAP1LC3B
